,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.21133878315427787,0.2543847591002115,0.1696790326815899,0.18492121019247867,0.15694935003235944,0.24389822981995896,0.08788779839504969,0.02250630772274445,0.46761231552002885,0.28461522300441494,0.08200488036434776,0.37594060448254374,0.31174145605918585,0.11346976125785407,0.2603454572238054,-0.037085269372181595,0.12547937812259968,0.15785005969858182,0.2102747393946345,0.06564410766348265,0.06634324810263861
BLACK_ACS,-0.26623092298296647,0.09382829316759207,0.061908333890622405,0.18724313800622133,-0.12159775965209205,-0.060226247797997734,-0.5679065851464624,0.059508728448956195,0.3399226053297614,-0.526381095822477,-0.23835835696929564,0.05393450987278542,0.04232209027887876,-0.10868626360038008,0.09231799455086513,0.015925212902628855,0.437536800424347,-0.02292967698433833,0.4615934192543942,-0.31108072687913346,0.3900794584012412
QNATAM_ACS,0.4943982596365438,0.542399591379319,0.5742773965699487,-0.23247320531019217,0.8066798787848821,0.6416584552533723,0.4483720299712763,0.5834783292304381,-0.07590335224402447,0.39861115466303937,-0.04586051436690916,0.43689616183507585,-0.5478460350881288,-0.30089526524052973,-0.5331774461074844,0.5320857786710916,-0.06327322080671541,0.4424684402416165,-0.06742152347843104,-0.30301270762543897,0.28332009396142277
QASIAN_ACS,-0.08977346783272334,0.20987348266567474,-0.12295099084152426,0.0718462707426218,0.07320337786581302,0.02132439033057168,0.11968848919894659,-0.15012061762774617,0.23078771831067837,-0.00018016594290632543,-0.24187709485966152,0.12154662427310298,-0.16492758045651812,0.19857225800242712,0.21678060989133308,0.32748681022560333,0.22781419330298838,0.1610768053703423,0.512956414556032,-0.09706466311399188,0.3339427301638992
QHISP_ACS,0.5626481351743777,0.21943221780742525,-0.11894745446801781,0.6337599063651769,0.4609771540927088,0.3890780649692823,0.3773732538997251,0.396433562598395,0.5162579105442682,0.2753146465511057,0.33428555000261223,0.32823018181749597,0.015489200147251556,0.5596910915198625,0.3692459463586608,-0.19287702426246672,-0.026758974419454056,0.4841073616816265,0.49825328161120874,0.27124089367058285,0.2529619796716293
QAGEDEP_ACS,0.7604063693911726,0.49997697125547735,0.17080812082289581,0.37886005318033167,0.3750035475616029,0.6174826225226324,0.5619857613943476,0.3285924615876529,0.5118145969902907,0.3808562945034488,0.29100071133354344,0.5605226903620989,0.5980803248722888,0.26885151316971756,0.14786717924258752,0.05306045968441088,0.1831041647456105,0.4353354091421755,0.1391776657092334,0.23360151570415685,0.11620081622264222
QPUNIT_ACS,0.01645709630066064,0.16875428761790603,-0.5527765851130405,0.13115044240275436,-0.4065411479734104,0.05827546871771502,-0.017346728126523492,0.13415901239368574,-0.18692627369773074,0.13643671070313274,-0.07208080330129893,0.36315836797470824,-0.3547671784278436,-0.043847609284357325,-0.369908053759178,-0.42994393893091265,-0.3717315727176878,-0.45546727331369163,-0.14443278080591404,-0.19005758082477858,-0.19761537024775208
PRENTER_ACS,0.16755039460758583,0.061289560131462945,0.08909906353486238,-0.12953964779589805,0.3036753238528868,-0.0836862621651764,0.22703731082965667,0.06620599694316709,-0.167069830323817,-0.07904823461771822,0.36695169951272844,-0.03226003435074891,0.16710973937877263,0.10169556757035143,-0.11408520589165456,0.1907906836063509,0.23339804602977382,0.16369114383294647,-0.04031912412523417,0.3998430213788251,0.4573945498052826
QNRRES_ACS,0.33146160080503456,0.46097975953040693,-0.16393145837802647,0.514498375152874,0.5235402143798205,0.21952111512657516,0.28931706859458484,0.4260886703202632,-0.2896109698964309,0.8591159105426149,0.3299046434231987,0.35462843456039733,0.5406838691568321,0.16125843922566724,0.44088351849051566,-0.14464487707915064,0.3297142556344183,0.2838149553763193,-0.28069346411902546,0.6606190198597643,0.16608415441226929
QFEMALE_ACS,0.7369492026838386,0.5072954653515128,-0.17618157543044913,-0.3947432922409385,-0.25507230089716343,0.8574845969697635,0.5431773309253799,0.8122102183596147,0.7520068257859038,-0.02072271695150113,0.4051080418738079,0.41660278486936675,0.5274800703874585,-0.08654151341431085,-0.33635785965187237,-0.28193525900062333,-0.34954567306704776,0.6449419343748197,0.4817238076531219,-0.555987691377014,0.05116557462959176
QFHH_ACS,0.20776047031712463,0.26163378399647574,-0.04636195788718027,0.09642517019599739,-0.010994642211010847,0.24974485256217377,0.08929035679983902,0.4998388185094623,0.008580320735433817,0.2244438295344151,0.45285601883208143,0.5571342761300656,0.2711985403521273,-0.03571381973194923,-0.07376854562817328,-0.19485247422098478,0.2208691804075259,0.21031302704319776,0.05931312009706309,-0.14718128383422205,0.5045648098423646
QUNOCCHU_ACS,0.2797475668065838,-0.241666966955285,0.510356181051348,0.7603163072293198,0.3770247644782204,0.3149379893818227,0.13724235319517042,-0.16861253340138901,0.45415344393725154,0.44967433196758194,-0.26852441650828185,-0.12542205642552728,0.14195858126920058,0.5050779564641128,0.2022480516810436,0.42155785788993216,0.28198273450039013,0.40142346508875026,0.7326453990887236,-0.40603180757564217,-0.282865525948335
PERCAP_ALT,0.27911952814027946,0.04536348948413871,-0.07689332113925251,0.2500787580415155,0.1497394884493738,0.23528524103640636,0.37935012854086914,0.23368960515322568,0.2684777924689631,0.08438804386649806,0.17824069063431774,0.09228133990502395,0.12611820985315492,0.15143577057630903,-0.0952300270044923,0.09866754858985094,0.19136394547393393,0.18676510938687235,0.24779219190774276,-0.1531567074215287,0.19837919580252725
QESL_ALT,0.48155504057766296,0.29796081004695046,-0.12055761333622012,0.5767969357112727,0.47250384671802986,0.4695636560693968,0.32453491168720733,0.39290631717195645,0.37878276351655704,0.48543014014178476,0.24251391673347494,0.36227354978740606,-0.037824444632398695,0.5856661650565482,0.4974209540903757,-0.036800554884318284,-0.059739818895126466,0.44378912052179165,0.3146096506462365,0.3046830265292219,0.20874494360195817
QCVLUN,-0.15012310234707632,0.6871652296979787,0.20244322142069698,0.21345821534753462,0.16401734897666648,-0.21882776724883946,-0.10850444130901776,-0.11167696309840602,0.5234971204059141,0.26257067733784556,0.15238045992139868,0.7443583694916917,-0.16521884961453154,0.30760873274681294,0.34526289935163623,0.25016558834337155,0.4004360139751474,-0.17894792793077702,0.1327556569075487,0.4106997856986359,0.27585792221688105
QPOVTY,0.34339952314365907,0.14813583314771003,0.253715232419997,0.1716123790407392,0.2886282309486613,0.24705017708035662,0.45292236646003203,0.2810651156320768,0.2704692028805403,0.5062418675495202,0.38587771555039196,0.024630642480281545,0.2831988884287422,0.3310060993436714,0.3314678721444653,0.42440472693980236,0.326404451781292,0.3963013709253389,0.14499005290400416,0.19155084741071293,0.35528638245848704
QMOHO,-0.3672640772365576,-0.19815389990105514,0.06560206941065405,0.039076711329324505,0.03855824197765607,-0.24614998489415868,-0.5850721679975904,-0.20434170680609715,0.24627219849764104,-0.1517266354668463,0.21343025331212967,-0.4667963664176182,-0.018566514286813746,0.2783863161821603,0.07585833632958748,0.3129545306957644,-0.43321490945417124,0.028339476808053328,0.7326004522583327,0.3048144566734843,0.40091149710596213
QED12LES_ALT,0.14006797763333234,0.4215657670232522,0.07757298280938257,0.3239142070166813,0.13606520747981915,0.20709827417160234,0.10860755757851198,0.39430171100455613,0.23078177741271969,0.46016117905824444,0.3377925834047834,0.4478369574546308,0.1905861756959759,0.4876980312776261,0.272036728980232,0.05841019812695472,0.07944349442822761,-0.053476756838856596,-0.008216341728025926,0.5235311103906435,0.4222993972442268
QFEMLBR,0.5056241107660998,0.10172182852511272,0.5085360073035641,0.06993676045213192,0.1617941327970454,0.13970199457422552,0.479994743876507,0.1585215670939179,0.7896826491861348,0.2814756795810134,0.4060464121197863,0.3031860428103955,0.44896341475264123,-0.1903066837736589,-0.30497830113411994,-0.1954343527750495,0.12970226127044623,0.5401937060606412,0.39722529694064257,-0.4317643399828285,0.364625105067137
